Sefer Yereim 297:1	פ' מי שהיה טמא (צ"ו א'	פ' מי שהיה טמא (פסחים צ"ו א
Sefer Yereim 297:1	פרק אלו דברים (ע"א א'	פרק אלו דברים (פסחים ע"א א
Sefer Yereim 301:1	פ' כל שעה (ל"א ב'	פ' כל שעה (פסחים ל"א ב
Sefer Yereim 301:1	פרק כל שעה (מ' ב'	פרק כל שעה (פסחים מ' ב
Sefer Yereim 301:1	פ' כל שעה (ל' א'	פ' כל שעה (פסחים ל' א
Sefer Yereim 301:1	פ' כל שעה (כ"ט א'	פ' כל שעה (פסחים כ"ט א
Sefer Yereim 301:1	פ' במה מדליקין (כ"ח א'	פ' במה מדליקין (שבת כ"ח א
Sefer Yereim 344:1	פ' כל פסולי המוקדשין (ל"ג ב'	פ' כל פסולי המוקדשין (בכורות ל"ג ב
Sefer Yereim 344:1	פ' אין צדין (כ"ז ב'	פ' אין צדין (ביצה כ"ז ב
Sefer Yereim 344:1	פ' כל פסולי המוקדשין (ל"ה א'	פ' כל פסולי המוקדשין (בכורות ל"ה א
Sefer Yereim 459:1	פרק קדשי קדשים (ס"ד ב'	פרק קדשי קדשים (זבחים ס"ד ב
Sefer Yereim 459:1	פרק איזהו מקומן (נ"ג א'	פרק איזהו מקומן (זבחים נ"ג א
Sefer Yereim 459:1	פרק הוציאו לו (נ"ג ב'	פרק הוציאו לו (יומא נ"ג ב
Teshuvot HaRivash 398:4	פ' עשרה יוחסין (ע"ו:)	פ' עשרה יוחסין (קידושין ע"ו:)
Teshuvot HaRivash 507:3	פרק שור שנגח ד' וה' (ל"ו:)	פרק שור שנגח ד' וה' (בבא קמא ל"ו:)
Teshuvot HaRivash 507:3	פרק שום היתומים (כ"ג:)	פרק שום היתומים (ערכין כ"ג:)
Teshuvot HaRivash 507:3	פרק גט פשוט (קע"ד:)	פרק גט פשוט (בבא בתרא קע"ד:)
