Bartenura on Mishnah Shekalim 5:1:10	פרק החליל [נא]	פרק החליל (סוכה נא)
Bartenura on Mishnah Sanhedrin 9:6:8	פרק במה מדליקין (דף כ״	פרק במה מדליקין (שבת דף כ
Bartenura on Mishnah Eduyot 7:7:6	פרק מקום שנהגו [דף נ״	פרק מקום שנהגו [פסחים דף נ
Bartenura on Pirkei Avot 2:4:2	פרק במה אשה [דף ס״	פרק במה אשה [שבת דף ס
Bartenura on Mishnah Zevachim 5:1:9	פרק בית שמאי [דף ל״	פרק בית שמאי [זבחים דף ל
Bartenura on Mishnah Chullin 9:1:1	פרק בהמה המקשה [דף ע״	פרק בהמה המקשה [חולין דף ע
Bartenura on Mishnah Bekhorot 6:6:3	פרק כיצד מעברין [דף נ״	פרק כיצד מעברין [עירובין דף נ
Bartenura on Mishnah Arakhin 2:3:1	פרק החליל [דף נ״	פרק החליל [סוכה דף נ
Bartenura on Mishnah Arakhin 2:3:6	פרק תמיד נשחט [דף ס״	פרק תמיד נשחט [פסחים דף ס
Bartenura on Mishnah Tamid 6:3:4	פרק הוציאו לו [סוף דף נ״	פרק הוציאו לו [יומא סוף דף נ
Bartenura on Mishnah Kinnim 1:4:1	פרק בכל מערבין [דף ל״	פרק בכל מערבין [עירובין דף ל
Bartenura on Mishnah Kelim 5:1:8	פרק העור והרוטב [דף קכ״	פרק העור והרוטב [חולין דף קכ
Bartenura on Mishnah Kelim 12:7:4	פרק המוכר את הספינה [דף פט]	פרק המוכר את הספינה (בבא בתרא דף פט)
Bartenura on Mishnah Kelim 13:5:8	פרק במה בהמה [דף נ״	פרק במה בהמה [שבת דף נ
Bartenura on Mishnah Kelim 17:2:1	פרק אף על פי [דף ס״	פרק אף על פי [כתובות דף ס
Bartenura on Mishnah Oholot 16:3:7	פרק המוכר פירות [דף ק״	פרק המוכר פירות [בבא בתרא דף ק
Bartenura on Mishnah Negaim 13:12:3	פרק מי שהוציאוהו [דף מ״	פרק מי שהוציאוהו [עירובין דף מ
Bartenura on Mishnah Yadayim 1:4:1	פרק אלו דברים [דף ס״	פרק אלו דברים [פסחים דף ס
Ramban on Genesis 28:17:1	פרק גיד הנשה (שם)	פרק גיד הנשה (חולין שם)
Ramban on Genesis 48:6:1	פרק יש נוחלין (שם)	פרק יש נוחלין (בבא בתרא שם)
Rashi on Hosea 1:1:2	פ' האשה (דף טז)	פ' האשה (פסחים דף טז)
Siftei Chakhamim, Numbers 15:32:1	פרק כל כתבי (דף קי"ח)	פרק כל כתבי (שבת דף קי"ח)
Penei Yehoshua on Beitzah 18a:11	ס"פ במה מדליקין (דף ל"ד	ס"פ במה מדליקין (שבת דף ל"ד
Penei Yehoshua on Beitzah 30b:10	פרק כירה (דף מ"ד	פרק כירה (שבת דף מ"ד
Penei Yehoshua on Beitzah 30b:10	פרק כירה (דף מ"ו)	פרק כירה (שבת דף מ"ו)
Rashi on Exodus 25:12:2	פרק שתי הלחם (צח	פרק שתי הלחם (מנחות צח
Rashi on Leviticus 11:19:3	פרק מי שאחזו (דף סח	פרק מי שאחזו (גיטין דף סח
Sefer HaChinukh 21:4	פרק כיצד מברכין, (מג,	פרק כיצד מברכין, (ברכות מג
Sefer HaChinukh 49:3	פרק החובל (פג,	פרק החובל (בבא קמא פג
Sefer HaChinukh 55:3	פרק החובל (פד,	פרק החובל (בבא קמא פד
Sefer HaChinukh 75:3	פרק זה בורר (שם	פרק זה בורר (סנהדרין שם
Sefer HaChinukh 122:4	פרק כהן גדול (יט	פרק כהן גדול (נזיר יט
Sefer HaChinukh 148:11	פרק כל הבשר [י''ד	פרק כל הבשר [חולין י''ד
Sefer HaChinukh 187:3	פרק כסוי הדם [י''ד	פרק כסוי הדם [חולין י''ד
Sefer HaChinukh 233:4	פרק אחד דיני ממונות (לג	פרק אחד דיני ממונות (סנהדרין לג
Sefer HaChinukh 244:4	פרק אותו ואת בנו (שם)	פרק אותו ואת בנו (חולין שם)
Sefer HaChinukh 245:5	פרק אמר רבי עקיבא (ט	פרק אמר רבי עקיבא (שבת ט
Sefer HaChinukh 291:1	פרק שמנה שרצים (קי,	פרק שמנה שרצים (שבת קי
Sefer HaChinukh 336:7	פרק הזהב (שם	פרק הזהב (בבא מציעא שם
Sefer HaChinukh 343:7	פרק איזהו נשך [י''ד	פרק איזהו נשך [בבא מציעא י''ד
Sefer HaChinukh 347:1	פרק השולח (לח,	פרק השולח (גיטין לח
Sefer HaChinukh 364:6	פרק במה מדליקין (לב	פרק במה מדליקין (שבת לב
Sefer HaChinukh 368:5	פרק שלשה מינין (שם	פרק שלשה מינין (נזיר שם
Sefer HaChinukh 373:4	פרק שלשה מינין (מ,	פרק שלשה מינין (נזיר מ
Sefer HaChinukh 380:3	פרק מי שהיה טמא (צה,	פרק מי שהיה טמא (פסחים צה
Sefer HaChinukh 380:4	פרק מי שהיה טמא (שם)	פרק מי שהיה טמא (פסחים שם)
Sefer HaChinukh 380:5	פרק מי שהיה טמא (שם	פרק מי שהיה טמא (פסחים שם
Sefer HaChinukh 400:9	פרק יש נוחלין (שם	פרק יש נוחלין (בבא בתרא שם
Sefer HaChinukh 406:5	פרק ארבעה נדרים (שם	פרק ארבעה נדרים (נדרים שם
Sefer HaChinukh 420:2	פרק היה קורא (יג	פרק היה קורא (ברכות יג
Sefer HaChinukh 430:11	פרק הרואה (שם	פרק הרואה (ברכות שם
Sefer HaChinukh 454:2	פרק ראוהו בית דין (כח,	פרק ראוהו בית דין (ראש השנה כח
Sefer HaChinukh 454:4	פרק ראוהו בית דין (שם)	פרק ראוהו בית דין (ראש השנה שם)
Sefer HaChinukh 454:4	פרק המוצא תפילין (צו	פרק המוצא תפילין (עירובין צו
Sefer HaChinukh 496:3	פרק הזהב (נט,	פרק הזהב (בבא מציעא נט
